"","route","count"
"950","110094->110110",67
"951","110094->110120",8
"952","110094->110130",20
"953","110094->110140",160
"954","110094->110143",9
"955","110094->110145",1
"956","110094->110146",1
"957","110094->110148",1
"958","110094->110149",14
"959","110094->110150",4
"960","110094->110155",9
"961","110094->110160",136
"962","110094->110170",61
"963","110094->110175",62
"964","110094->110180",28
"965","110100->110002",24
"966","110100->110011",83
"967","110100->110012",4
"968","110100->110015",1
"969","110100->110020",3
"970","110100->110028",1
"971","110100->110045",3
"972","110100->110060",17
"973","110100->110070",408
"974","110100->110094",2
"975","110100->110140",23
"976","110100->110160",1
"977","110100->110175",1
"978","110110->110001",1
"979","110110->110002",6292
"980","110110->110003",5
"981","110110->110004",393
"982","110110->110005",3
"983","110110->110006",3
"984","110110->110009",1
"985","110110->110010",10
"986","110110->110011",97
"987","110110->110012",103
"988","110110->110013",20
"989","110110->110014",1
"990","110110->110015",11
"991","110110->110018",1
"992","110110->110020",1476
"993","110110->110025",5
"994","110110->110026",27
"995","110110->110028",9
"996","110110->110030",7
"997","110110->110032",2
"998","110110->110037",2
"999","110110->110040",230
"1000","110110->110045",7
"1001","110110->110060",11
"1002","110110->110070",1
"1003","110110->110080",299
"1004","110110->110094",30
"1005","110110->110100",6
"1006","110110->110130",8
"1007","110110->110140",101
"1008","110110->110148",1
"1009","110110->110149",1
"1010","110110->110155",1
"1011","110110->110160",4
"1012","110110->110170",4
"1013","110110->110175",8
"1014","110110->110180",1
"1015","110120->110002",1
"1016","110120->110004",18
"1017","110120->110018",1
"1018","110120->110020",2
"1019","110120->110028",1
"1020","110120->110170",1
"1021","110130->110001",1
"1022","110130->110002",6
"1023","110130->110011",13
"1024","110130->110012",22
"1025","110130->110013",2
"1026","110130->110015",28
"1027","110130->110020",17
"1028","110130->110025",4
"1029","110130->110033",1
"1030","110130->110034",10
"1031","110130->110037",2
"1032","110130->110045",3
"1033","110130->110060",1
"1034","110130->110070",1
"1035","110130->110110",1
"1036","110130->110140",1
"1037","110130->110143",25
"1038","110130->110155",12
"1039","110130->110170",59
"1040","110130->110180",2
"1041","110140->110002",2596
"1042","110140->110004",12
"1043","110140->110009",1
"1044","110140->110010",3
"1045","110140->110011",30
"1046","110140->110012",51
"1047","110140->110013",5
"1048","110140->110014",1
"1049","110140->110015",12
"1050","110140->110018",2
"1051","110140->110020",48
"1052","110140->110025",5
"1053","110140->110026",7
"1054","110140->110028",4
"1055","110140->110030",4
"1056","110140->110033",2
"1057","110140->110034",1
"1058","110140->110037",1
"1059","110140->110040",2
"1060","110140->110045",82
"1061","110140->110060",16
"1062","110140->110070",20
"1063","110140->110080",1
"1064","110140->110094",8
"1065","110140->110100",7
"1066","110140->110110",7
"1067","110140->110130",20
"1068","110140->110143",2
"1069","110140->110155",3
"1070","110140->110170",6
"1071","110140->110175",2
"1072","110140->110180",2
"1073","110143->110001",1
"1074","110143->110002",1
"1075","110143->110005",1
"1076","110143->110007",1
"1077","110143->110009",1
"1078","110143->110011",3
"1079","110143->110012",7
"1080","110143->110013",1
"1081","110143->110015",9
"1082","110143->110020",2
"1083","110143->110028",1
"1084","110143->110033",1
"1085","110143->110060",1
"1086","110143->110080",1
"1087","110143->110110",1
"1088","110143->110130",15
"1089","110143->110170",5
"1090","110145->110004",1
"1091","110145->110008",1
"1092","110145->110009",1
"1093","110145->110011",1
"1094","110145->110018",8
"1095","110145->110020",1
"1096","110145->110025",1
"1097","110145->110028",5
"1098","110145->110029",2
"1099","110145->110092",2
"1100","110145->110148",4
"1101","110146->110001",2
"1102","110146->110004",3
"1103","110146->110005",105
"1104","110146->110006",8
"1105","110146->110007",3
"1106","110146->110008",1
"1107","110146->110010",4
"1108","110146->110012",1
"1109","110146->110015",1
"1110","110146->110018",1
"1111","110146->110020",4
"1112","110146->110025",1
"1113","110146->110028",1
"1114","110146->110030",30
"1115","110146->110149",2
"1116","110147->110002",1
"1117","110147->110012",1
"1118","110147->110015",1
"1119","110147->110028",1
"1120","110148->110004",2
"1121","110148->110018",3
"1122","110148->110020",1
"1123","110148->110025",1
"1124","110148->110028",3
"1125","110149->110001",28
"1126","110149->110002",3
"1127","110149->110004",64
"1128","110149->110005",1
"1129","110149->110006",4
"1130","110149->110008",282
"1131","110149->110009",2
"1132","110149->110010",12
"1133","110149->110011",1
"1134","110149->110012",51
"1135","110149->110014",30
"1136","110149->110015",3
"1137","110149->110018",12
"1138","110149->110020",12
"1139","110149->110025",31
"1140","110149->110028",80
"1141","110149->110029",5
"1142","110149->110030",3
"1143","110149->110032",25
"1144","110149->110034",21
"1145","110149->110037",4
"1146","110149->110050",24
"1147","110149->110070",1
"1148","110149->110080",1
"1149","110149->110092",1
"1150","110149->110094",4
"1151","110149->110130",10
"1152","110149->110143",1
"1153","110149->110146",1
"1154","110149->110147",1
"1155","110149->110150",6
"1156","110149->110155",1
"1157","110149->110170",3
"1158","110149->110175",1
"1159","110150->110002",3
"1160","110150->110004",23
"1161","110150->110008",3
"1162","110150->110011",1
"1163","110150->110012",20
"1164","110150->110014",30
"1165","110150->110015",1
"1166","110150->110018",3
"1167","110150->110020",3
"1168","110150->110025",9
"1169","110150->110028",13
"1170","110150->110030",2
"1171","110150->110032",28
"1172","110150->110033",1
"1173","110150->110034",9
"1174","110150->110050",7
"1175","110150->110120",1
"1176","110150->110130",1
"1177","110150->110149",22
"1178","110150->110155",1
"1179","110155->110001",1
"1180","110155->110002",2
"1181","110155->110012",5
"1182","110155->110013",1
"1183","110155->110015",2
"1184","110155->110020",1
"1185","110155->110025",1
"1186","110155->110029",1
"1187","110155->110149",1
"1188","110160->110002",43
"1189","110160->110004",1
"1190","110160->110005",1
"1191","110160->110007",3
"1192","110160->110011",712
"1193","110160->110012",20
"1194","110160->110013",11
"1195","110160->110015",39
"1196","110160->110020",8
"1197","110160->110026",3
"1198","110160->110028",2
"1199","110160->110030",5
"1200","110160->110032",1
"1201","110160->110034",1
"1202","110160->110037",2
"1203","110160->110040",1
"1204","110160->110060",6
"1205","110160->110070",1
"1206","110160->110094",14
"1207","110160->110100",8
"1208","110160->110130",102
"1209","110160->110143",34
"1210","110160->110155",7
"1211","110160->110170",2
"1212","110160->110175",62
"1213","110160->110180",5
"1214","110170->110002",2
"1215","110170->110004",10
"1216","110170->110006",1
"1217","110170->110011",3
"1218","110170->110012",34
"1219","110170->110013",1
"1220","110170->110015",11
"1221","110170->110020",26
"1222","110170->110025",1
"1223","110170->110028",1
"1224","110170->110030",4
"1225","110170->110032",1
"1226","110170->110034",11
"1227","110170->110040",2
"1228","110170->110045",1
"1229","110170->110060",1
"1230","110170->110110",2
"1231","110170->110130",69
"1232","110170->110143",5
"1233","110170->110150",1
"1234","110170->110155",2
"1235","110170->110180",1
"1236","110175->110002",146
"1237","110175->110004",2
"1238","110175->110006",1
"1239","110175->110009",1
"1240","110175->110010",1
"1241","110175->110011",386
"1242","110175->110012",106
"1243","110175->110013",760
"1244","110175->110014",4
"1245","110175->110015",29
