"","route","count"
"980","110015->412340",1
"981","110015->500270",2
"982","110015->500370",1
"983","110015->510140",2
"984","110015->510325",16
"985","110015->510330",4
"986","110015->510340",1
"987","110015->510675",2
"988","110015->510760",2
"989","110015->510787",1
"990","110015->510790",1
"991","110015->520870",2
"992","110015->521040",1
"993","110018->120010",1
"994","110018->120020",1
"995","110018->120040",1
"996","110018->120045",1
"997","110018->130170",1
"998","110018->130250",2
"999","110018->130260",1
"1000","110018->220120",1
"1001","110018->310620",1
"1002","110018->314280",1
"1003","110018->314330",1
"1004","110018->320013",1
"1005","110018->320305",1
"1006","110018->320490",2
"1007","110018->350950",2
"1008","110018->410860",1
"1009","110018->411280",1
"1010","110018->411370",1
"1011","110018->411580",1
"1012","110018->412570",1
"1013","110018->420395",1
"1014","110018->420420",1
"1015","110018->420910",1
"1016","110018->430510",1
"1017","110018->500470",1
"1018","110018->500570",1
"1019","110018->510170",3
"1020","110018->510250",1
"1021","110018->510325",5
"1022","110018->510330",4
"1023","110018->510340",2
"1024","110018->510515",1
"1025","110018->510629",1
"1026","110018->510630",1
"1027","110018->510710",1
"1028","110018->510760",2
"1029","110018->510787",5
"1030","110018->510890",1
"1031","110020->110020",2
"1032","110020->120001",346
"1033","110020->120005",12
"1034","110020->120010",81
"1035","110020->120013",19
"1036","110020->120017",47
"1037","110020->120020",50
"1038","110020->120025",6
"1039","110020->120030",14
"1040","110020->120032",1
"1041","110020->120033",6
"1042","110020->120034",5
"1043","110020->120035",1
"1044","110020->120038",354
"1045","110020->120040",3276
"1046","110020->120042",2
"1047","110020->120045",244
"1048","110020->120050",71
"1049","110020->120060",148
"1050","110020->120070",34
"1051","110020->120080",83
"1052","110020->130014",50
"1053","110020->130030",7
"1054","110020->130040",3
"1055","110020->130070",62
"1056","110020->130080",11
"1057","110020->130083",2
"1058","110020->130090",1054
"1059","110020->130110",1
"1060","110020->130120",3
"1061","110020->130150",1
"1062","110020->130165",21
"1063","110020->130170",1349
"1064","110020->130180",5
"1065","110020->130185",8
"1066","110020->130190",30
"1067","110020->130210",2
"1068","110020->130220",1
"1069","110020->130240",325
"1070","110020->130250",9
"1071","110020->130255",2
"1072","110020->130260",1016
"1073","110020->130270",204
"1074","110020->130290",3
"1075","110020->130310",19
"1076","110020->130330",30
"1077","110020->130340",6
"1078","110020->130350",1
"1079","110020->130353",5
"1080","110020->130356",9
"1081","110020->130380",1
"1082","110020->130406",1
"1083","110020->130410",1
"1084","110020->130430",2
"1085","110020->140010",33
"1086","110020->140020",1
"1087","110020->140023",3
"1088","110020->140030",2
"1089","110020->140045",1
"1090","110020->140047",2
"1091","110020->140050",1
"1092","110020->150010",18
"1093","110020->150040",2
"1094","110020->150060",6
"1095","110020->150080",6
"1096","110020->150095",1
"1097","110020->150130",17
"1098","110020->150140",39
"1099","110020->150170",1
"1100","110020->150178",13
"1101","110020->150180",1
"1102","110020->150215",1
"1103","110020->150220",1
"1104","110020->150230",1
"1105","110020->150240",11
"1106","110020->150270",2
"1107","110020->150276",5
"1108","110020->150293",1
"1109","110020->150307",1
"1110","110020->150309",3
"1111","110020->150350",1
"1112","110020->150360",30
"1113","110020->150375",2
"1114","110020->150390",11
"1115","110020->150420",3
"1116","110020->150442",1
"1117","110020->150460",1
"1118","110020->150475",1
"1119","110020->150480",5
"1120","110020->150500",1
"1121","110020->150503",2
"1122","110020->150510",2
"1123","110020->150530",4
"1124","110020->150550",5
"1125","110020->150553",39
"1126","110020->150613",3
"1127","110020->150620",1
"1128","110020->150630",1
"1129","110020->150680",52
"1130","110020->150715",2
"1131","110020->150730",1
"1132","110020->150745",1
"1133","110020->150746",1
"1134","110020->150795",1
"1135","110020->150810",51
"1136","110020->150812",1
"1137","110020->150815",1
"1138","110020->150835",4
"1139","110020->150840",1
"1140","110020->160027",1
"1141","110020->160030",10
"1142","110020->160053",1
"1143","110020->160060",1
"1144","110020->170035",1
"1145","110020->170210",10
"1146","110020->170255",1
"1147","110020->170380",1
"1148","110020->170510",1
"1149","110020->170550",1
"1150","110020->170930",1
